"","site","PFT","Lat","Lon","model","R2","RMSE","RPE"
"228","IT-SRo","ENF","43.7279","10.2844","EC_LUE","0.63495085832054","2.10628342881313","-0.160412233076523"
"229","IT-SRo","ENF","43.7279","10.2844","CHJ","0.205170727660428","9.10294028542001","1.50548745212432"
"230","IT-SRo","ENF","43.7279","10.2844","C_Fix","0.542356378150002","7.94456337145138","0.842002767315833"
"231","IT-SRo","ENF","43.7279","10.2844","MODIS","0.625516561774889","1.95521709790553","-0.171143205663982"
"232","IT-SRo","ENF","43.7279","10.2844","RF","0.805397848668025","1.21087838359746","-0.00019996163378088"
"233","IT-SRo","ENF","43.7279","10.2844","SVM","0.784059930230805","1.2745119982451","-0.0091153652349974"
"234","IT-SRo","ENF","43.7279","10.2844","BMA","0.72545927697771","1.43507308248972","0.000741074854555954"
"235","NL-Hor","GRA","52.2403","5.0713","VPM","0.763883458546644","2.05878791469698","-0.153293687239013"
"236","NL-Hor","GRA","52.2403","5.0713","GLO_PEM","0.658557138442671","2.35935467164876","-0.206897002256315"
"237","NL-Hor","GRA","52.2403","5.0713","EC_LUE","0.481694652188549","3.29855738667974","-0.148893300567656"
"238","NL-Hor","GRA","52.2403","5.0713","CHJ","0.606301585144289","4.14095847875169","0.813954565169085"
"239","NL-Hor","GRA","52.2403","5.0713","C_Fix","0.748855377739223","4.20872960159644","0.425845683616899"
"240","NL-Hor","GRA","52.2403","5.0713","MODIS","0.740595839902387","1.91904169576445","-0.189460964109817"
"241","NL-Hor","GRA","52.2403","5.0713","RF","0.849525042330498","1.34221452412128","-0.000251796246493843"
"242","NL-Hor","GRA","52.2403","5.0713","SVM","0.843379342559005","1.39112690586876","-0.0592651008374186"
"243","NL-Hor","GRA","52.2403","5.0713","BMA","0.793363038029067","1.57358773377893","0.000629853515679673"
"244","NL-Loo","ENF","52.1666","5.7436","VPM","0.792637713734353","2.04638539638717","-0.0344876185366362"
"245","NL-Loo","ENF","52.1666","5.7436","GLO_PEM","0.827745691695855","1.63701864503426","-0.170430542296937"
"246","NL-Loo","ENF","52.1666","5.7436","EC_LUE","0.853389876892653","1.56472261882264","-0.206437911013589"
"247","NL-Loo","ENF","52.1666","5.7436","CHJ","0.520939858641358","5.13269078443846","0.931181603509807"
"248","NL-Loo","ENF","52.1666","5.7436","C_Fix","0.708748850447543","3.71654359224875","0.232102102870917"
"249","NL-Loo","ENF","52.1666","5.7436","MODIS","0.719217192081987","2.08119704728365","-0.24550725605413"
"250","NL-Loo","ENF","52.1666","5.7436","RF","0.907637537204181","0.981381321437129","-0.000266420645992171"
